37,1826,FIC,LastMohicansANarrative1757 ,"  silent horror. A single yell burst from the woods, and all was again still. Hawkeye, who alone appeared to reason on the occasion, shook his head"
38,1826,FIC,LastMohicansANarrative1757 ,"  on his memory, he felt a difficulty in persuading him of their truth. Still ignorant of the fate of those who had trusted to the aid of the swift"
39,1826,FIC,LastMohicansANarrative1757 ,"  trust in God, they are gone, too! everything but the water is still and at peace; in, then, where you may create those sounds you"
40,1826,FIC,LastMohicansANarrative1757 ,"  sight of their dead companions. We are not yet discovered, and there is still hope. "" Faint and almost despairing as was the prospect of escape, the"
41,1826,FIC,LastMohicansANarrative1757 ,"  moment of uncertainty! if our place of retreat escape this scrutiny, we are still safe! In every event, we are assured, by what has fallen from"
42,1826,FIC,LastMohicansANarrative1757 ,"  had even thought of retreating beyond a curvature in the natural wall, which might still conceal him and his companions, when by the sudden gleam of intelligence that shot"
43,1826,FIC,LastMohicansANarrative1757 ,"  cloud. "" "" And why did the white chief stay? "" demanded the still incredulous Indian. "" Is he a stone that goes to the bottom, or"
44,1826,FIC,LastMohicansANarrative1757 ,"  dead comrade, who fell into the falls, might answer, were the life still in him, "" said the provoked young man, using, in his anger"
45,1826,FIC,LastMohicansANarrative1757 ,"  which the fiercest passion was only tempered by habitual self-command, at those captives who still remained in their power, while one or two even gave vent to their malignant"
46,1826,FIC,LastMohicansANarrative1757 ,"  way into the canoe, where he was soon seated with the sisters and the still wondering David. Notwithstanding the Hurons were necessarily ignorant of the little channels among the"
47,1826,FIC,LastMohicansANarrative1757 ,"  as it might enable him to retard the speed of the party; for he still turned his longing looks in the direction of Fort Edward, in the vain expectation"
48,1826,FIC,LastMohicansANarrative1757 ,"  Huron talks to the women, his tribe shut their ears. "" Duncan, still lingering, as if refusing to comply, Cora said, with a calm smile"
49,1826,FIC,LastMohicansANarrative1757 ,"  tell no lie. "" "" What must I promise? "" demanded Cora, still maintaining a secret ascendancy over the fierce native by the collected and feminine dignity of"
50,1826,FIC,LastMohicansANarrative1757 ,"  was shrinking within herself, in dread of having her ears wounded by some proposal still more shocking than the last, the voice of Magua answered, in its tones"
51,1826,FIC,LastMohicansANarrative1757 ,"  to his own, pale and agitated, but with an eye whose steady look still read the proceedings of their enemies. On his left, the withes which bound"
52,1826,FIC,LastMohicansANarrative1757 ,"  he is. An honest Delaware now, being fairly vanquished, would have lain still, and been knocked on the head, but these knavish Maquas cling to life"
53,1826,FIC,LastMohicansANarrative1757 ,"  twinkled and grew moist, "" I thank thee that the hairs of my head still grow where they were first rooted by Providence; for, though those of other"
54,1826,FIC,LastMohicansANarrative1757 ,"  this time the song of Gamut had ceased, and the sisters had learned to still the exhibition of their emotions. Aided by Duncan and the younger Mohican, the"
55,1826,FIC,LastMohicansANarrative1757 ,"  "" "" True; for he would value the animals for very different properties. Still is this a breed highly esteemed and, as you witness, much honored with"
56,1826,FIC,LastMohicansANarrative1757 ,"  , but the huge logs of pine, which had been hastily thrown together, still preserved their relative positions, though one angle of the work had given way under"
57,1826,FIC,LastMohicansANarrative1757 ,"  Indians, with a compassionate interest in their desolate fortune. Their dark persons were still to be seen within the shadows of the blockhouse, the son listening to the"
58,1826,FIC,LastMohicansANarrative1757 ,"  as one of the trees which formed the dark barrier on every side. He still heard the gentle breathings of the sisters, who lay within a few feet of"
59,1826,FIC,LastMohicansANarrative1757 ,"  not sufficiently strong to penetrate the deep arches of the forest, where the objects still lay in deceptive shadow. The search proved fruitless; for so short and sudden"
60,1826,FIC,LastMohicansANarrative1757 ,"  There are them in the camp who say and think, man, to lie still, should not be buried while the breath is in the body; and certain"
61,1826,FIC,LastMohicansANarrative1757 ,"  so steadily. "" "" It was of flesh; but whether the poor fellow still belongs to this world may well be doubted, "" said Heyward, glancing his"
62,1826,FIC,LastMohicansANarrative1757 ,"  was succeeded by a heavy and sullen plunge into the water, and all was still again as if the borders of the dreary pool had never been awakened from the"
63,1826,FIC,LastMohicansANarrative1757 ,"  the crests of the hills pointed out the passage by which they found their way still further north, to spread their pure and ample sheets again, before pouring out"
64,1826,FIC,LastMohicansANarrative1757 ,"  numerous foes; and within the walls themselves, the travelers looked down upon men still drowsy with a night of vigilance. Toward the southeast, but in immediate contact"
65,1826,FIC,LastMohicansANarrative1757 ,"  air in a direction a little different from that taken by the fugitives; though still so nigh them, that to the unpractised ears of David and the two females"
66,1826,FIC,LastMohicansANarrative1757 ,"  mirror in quiet pursuit of their employment. The scene was at once animated and still. All that pertained to nature was sweet, or simply grand; while those"
67,1826,FIC,LastMohicansANarrative1757 ,"  , charged with a similar office but the instant he recognized the tall person and still sturdy though downcast features of his friend, the woodsman, he started with surprise"
68,1826,FIC,LastMohicansANarrative1757 ,"  ignorant of all you say, and of the pressing nature of our circumstances; still, there is everything due to the honor of the king's arms, and"
69,1826,FIC,LastMohicansANarrative1757 ,"  heads of the adverse forces were, of course, dispensed with. The truce still existed, and with a roll and beat of the drum, and covered by"
